STATE,DMEPOS RURAL ZIP CODE,YEAR/QTR
MA,01223,201504
MA,02535,201504
MA,02539,201504
MA,02552,201504
MA,02554,201504
MA,02557,201504
MA,02564,201504
MA,02568,201504
MA,02575,201504
MA,02584,201504
MA,02713,201504
NH,03046,201504
NH,03106,201504
NH,03215,201504
NH,03216,201504
NH,03217,201504
NH,03218,201504
NH,03220,201504
NH,03221,201504
NH,03222,201504
NH,03223,201504
NH,03224,201504
NH,03225,201504
NH,03226,201504
NH,03227,201504
NH,03229,201504
NH,03230,201504
NH,03231,201504
NH,03233,201504
NH,03234,201504
NH,03235,201504
NH,03237,201504
NH,03238,201504
NH,03240,201504
NH,03241,201504
NH,03242,201504
NH,03243,201504
NH,03245,201504
NH,03246,201504
NH,03247,201504
NH,03249,201504
NH,03251,201504
NH,03252,201504
NH,03253,201504
NH,03254,201504
NH,03255,201504
NH,03256,201504
NH,03257,201504
NH,03258,201504
NH,03259,201504
NH,03260,201504
NH,03262,201504
NH,03263,201504
NH,03264,201504
NH,03266,201504
NH,03268,201504
NH,03269,201504
NH,03272,201504
NH,03273,201504
NH,03275,201504
NH,03276,201504
NH,03278,201504
NH,03279,201504
NH,03280,201504
NH,03282,201504
NH,03284,201504
NH,03285,201504
NH,03287,201504
NH,03289,201504
NH,03293,201504
NH,03298,201504
NH,03299,201504
NH,03301,201504
NH,03302,201504
NH,03303,201504
NH,03304,201504
NH,03305,201504
NH,03307,201504
NH,03431,201504
NH,03435,201504
NH,03441,201504
NH,03443,201504
NH,03444,201504
NH,03445,201504
NH,03446,201504
NH,03447,201504
NH,03448,201504
NH,03450,201504
NH,03451,201504
NH,03452,201504
NH,03455,201504
NH,03456,201504
NH,03457,201504
NH,03461,201504
NH,03462,201504
NH,03464,201504
NH,03465,201504
NH,03466,201504
NH,03467,201504
NH,03469,201504
NH,03470,201504
NH,03561,201504
NH,03570,201504
NH,03574,201504
NH,03575,201504
NH,03576,201504
NH,03579,201504
NH,03580,201504
NH,03581,201504
NH,03582,201504
NH,03583,201504
NH,03584,201504
NH,03585,201504
NH,03586,201504
NH,03588,201504
NH,03589,201504
NH,03590,201504
NH,03592,201504
NH,03593,201504
NH,03595,201504
NH,03597,201504
NH,03598,201504
NH,03601,201504
NH,03602,201504
NH,03603,201504
NH,03604,201504
NH,03605,201504
NH,03607,201504
NH,03608,201504
NH,03609,201504
NH,03740,201504
NH,03741,201504
NH,03743,201504
NH,03745,201504
NH,03746,201504
NH,03748,201504
NH,03749,201504
NH,03750,201504
NH,03751,201504
NH,03752,201504
NH,03753,201504
NH,03754,201504
NH,03755,201504
NH,03756,201504
NH,03765,201504
NH,03766,201504
NH,03768,201504
NH,03769,201504
NH,03770,201504
NH,03771,201504
NH,03773,201504
NH,03774,201504
NH,03777,201504
NH,03779,201504
NH,03780,201504
NH,03781,201504
NH,03782,201504
NH,03784,201504
NH,03785,201504
NH,03809,201504
NH,03810,201504
NH,03812,201504
NH,03813,201504
NH,03814,201504
NH,03816,201504
NH,03817,201504
NH,03818,201504
NH,03830,201504
NH,03832,201504
NH,03836,201504
NH,03837,201504
NH,03838,201504
NH,03845,201504
NH,03846,201504
NH,03847,201504
NH,03849,201504
NH,03850,201504
NH,03853,201504
NH,03860,201504
NH,03864,201504
NH,03872,201504
NH,03875,201504
NH,03882,201504
NH,03883,201504
NH,03886,201504
NH,03890,201504
NH,03894,201504
NH,03896,201504
NH,03897,201504
ME,04010,201504
ME,04016,201504
ME,04022,201504
ME,04037,201504
ME,04041,201504
ME,04051,201504
ME,04068,201504
ME,04088,201504
ME,04216,201504
ME,04217,201504
ME,04219,201504
ME,04220,201504
ME,04221,201504
ME,04224,201504
ME,04225,201504
ME,04226,201504
ME,04227,201504
ME,04231,201504
ME,04234,201504
ME,04237,201504
ME,04238,201504
ME,04239,201504
ME,04255,201504
ME,04257,201504
ME,04259,201504
ME,04261,201504
ME,04262,201504
ME,04265,201504
ME,04267,201504
ME,04268,201504
ME,04270,201504
ME,04271,201504
ME,04275,201504
ME,04276,201504
ME,04281,201504
ME,04284,201504
ME,04285,201504
ME,04286,201504
